Etanol | Indicador Mensal do Etanol Hidratado Combustível CEPEA/ESALQ - Alagoas;;;;;;;;;
Nota;"Sem frete, sem ICMS
Em junho de 2011, o número de informações insuficientes para compor uma média.";;;;;;;;
Fonte;Cepea;;;;;;;;
Data;À vista R$;À vista US$;;;;;;;
11/2015;1,6621;0,4392;;;;;;;
12/2015;1,7113;0,4429;;;;;;;
01/2016;1,8239;0,4523;;;;;;;
02/2016;1,9958;0,5016;;;;;;;
03/2016;1,9693;0,5281;;;;;;;
04/2016;1,8859;0,5278;;;;;;;
09/2016;1,7587;0,5407;;;;;;;
10/2016;1,8110;0,5675;;;;;;;
11/2016;1,8349;0,5533;;;;;;;
12/2016;1,7601;0,5230;;;;;;;
01/2017;1,7579;0,5482;;;;;;;
02/2017;1,7614;0,5673;;;;;;;
03/2017;1,7106;0,5476;;;;;;;
04/2017;1,7603;0,5612;;;;;;;
05/2017;1,7666;0,5520;;;;;;;
09/2017;1,6144;0,5147;;;;;;;
10/2017;1,5545;0,4881;;;;;;;
11/2017;1,4805;0,4537;;;;;;;
12/2017;1,5928;0,4845;;;;;;;
01/2018;1,7295;0,5372;;;;;;;
02/2018;1,8484;0,5717;;;;;;;
03/2018;1,9727;0,6031;;;;;;;
04/2018;1,8362;0,5408;;;;;;;
05/2018;1,7978;0,4975;;;;;;;
09/2018;1,6877;0,4104;;;;;;;
10/2018;1,6725;0,4420;;;;;;;
11/2018;1,5840;0,4207;;;;;;;
12/2018;1,6024;0,4131;;;;;;;
01/2019;1,7191;0,4586;;;;;;;
02/2019;1,7464;0,4696;;;;;;;
03/2019;1,9530;0,5099;;;;;;;
04/2019;2,0398;0,5239;;;;;;;
05/2019;1,9083;0,4778;;;;;;;
06/2019;1,8866;0,4859;;;;;;;
08/2019;1,8511;0,4657;;;;;;;
09/2019;1,7079;0,4139;;;;;;;
10/2019;1,6387;0,3993;;;;;;;
11/2019;1,6060;0,3896;;;;;;;
12/2019;1,7429;0,4223;;;;;;;
01/2020;2,0274;0,4916;;;;;;;
02/2020;2,0645;0,4781;;;;;;;
03/2020;2,0563;0,4240;;;;;;;
04/2020;1,4671;0,2769;;;;;;;
05/2020;1,4454;0,2564;;;;;;;
06/2020;1,5286;0,2945;;;;;;;
07/2020;1,6862;0,3172;;;;;;;
09/2020;1,9503;0,3631;;;;;;;
10/2020;1,8837;0,3356;;;;;;;
11/2020;1,9181;0,3507;;;;;;;
12/2020;2,0136;0,3916;;;;;;;
01/2021;2,0691;0,3885;;;;;;;
02/2021;2,3554;0,4341;;;;;;;
03/2021;2,8755;0,5106;;;;;;;
04/2021;2,7108;0,4827;;;;;;;
05/2021;2,9295;0,5515;;;;;;;
06/2021;3,0197;0,5973;;;;;;;
09/2021;3,0969;0,5886;;;;;;;
10/2021;3,0222;0,5484;;;;;;;
11/2021;3,1998;0,5755;;;;;;;
12/2021;3,0283;0,5351;;;;;;;
01/2022;3,0738;0,5530;;;;;;;
02/2022;2,9589;0,5684;;;;;;;
03/2022;3,2270;0,6443;;;;;;;
04/2022;3,4807;0,7346;;;;;;;
05/2022;3,7970;0,7646;;;;;;;
06/2022;3,5881;0,7178;;;;;;;
07/2022;3,5399;0,6595;;;;;;;
09/2022;2,1723;0,4182;;;;;;;
10/2022;2,2969;0,4361;;;;;;;
11/2022;2,5853;0,4898;;;;;;;
12/2022;2,8672;0,5455;;;;;;;
01/2023;2,8763;0,5520;;;;;;;
02/2023;2,7909;0,5400;;;;;;;
03/2023;2,8002;0,5362;;;;;;;
04/2023;2,8993;0,5755;;;;;;;
05/2023;2,9150;0,5862;;;;;;;
06/2023;2,8845;0,5917;;;;;;;
07/2023;2,8629;0,5950;;;;;;;
08/2023;2,6229;0,5363;;;;;;;
09/2023;2,5389;0,5153;;;;;;;
10/2023;2,4337;0,4805;;;;;;;
11/2023;2,2414;0,4562;;;;;;;
12/2023;2,0966;0,4277;;;;;;;
01/2024;2,1956;0,4474;;;;;;;
02/2024;2,4451;0,4931;;;;;;;
03/2024;2,6086;0,5242;;;;;;;
04/2024;2,7437;0,5361;;;;;;;
05/2024;2,7877;0,5436;;;;;;;
